Country,Technology,Grid connection,Year,Electricity generation in GWh,Type
Afghanistan,Solar photovoltaic,Off-grid,2015,33.32,Renewable
Afghanistan,Solar photovoltaic,Off-grid,2016,35.499,Renewable
Afghanistan,Solar photovoltaic,Off-grid,2017,35.769,Renewable
Afghanistan,Solar photovoltaic,Off-grid,2018,34.946,Renewable
Afghanistan,Solar photovoltaic,Off-grid,2019,34.125,Renewable
Afghanistan,Solar photovoltaic,On-grid,2015,0,Renewable
Afghanistan,Solar photovoltaic,On-grid,2016,2.992,Renewable
Afghanistan,Solar photovoltaic,On-grid,2017,2.263,Renewable
Afghanistan,Solar photovoltaic,On-grid,2018,2.263,Renewable
Afghanistan,Solar photovoltaic,On-grid,2019,15.578,Renewable
Afghanistan,Solar thermal energy,Off-grid,2015,0,Renewable
Afghanistan,Solar thermal energy,Off-grid,2016,0,Renewable
Afghanistan,Solar thermal energy,Off-grid,2017,0,Renewable
Afghanistan,Solar thermal energy,Off-grid,2018,0,Renewable
Afghanistan,Solar thermal energy,Off-grid,2019,0,Renewable
Afghanistan,Solar thermal energy,On-grid,2015,0,Renewable
Afghanistan,Solar thermal energy,On-grid,2016,0,Renewable
Afghanistan,Solar thermal energy,On-grid,2017,0,Renewable
Afghanistan,Solar thermal energy,On-grid,2018,0,Renewable
Afghanistan,Solar thermal energy,On-grid,2019,0,Renewable
Afghanistan,Onshore wind energy,Off-grid,2015,0.123,Renewable
Afghanistan,Onshore wind energy,Off-grid,2016,0.123,Renewable
Afghanistan,Onshore wind energy,Off-grid,2017,0.123,Renewable
Afghanistan,Onshore wind energy,Off-grid,2018,0.123,Renewable
Afghanistan,Onshore wind energy,Off-grid,2019,0.123,Renewable
Afghanistan,Onshore wind energy,On-grid,2015,0,Renewable
Afghanistan,Onshore wind energy,On-grid,2016,0,Renewable
Afghanistan,Onshore wind energy,On-grid,2017,0,Renewable
Afghanistan,Onshore wind energy,On-grid,2018,0,Renewable
Afghanistan,Onshore wind energy,On-grid,2019,0,Renewable
Afghanistan,Offshore wind energy,Off-grid,2015,0,Renewable
Afghanistan,Offshore wind energy,Off-grid,2016,0,Renewable
Afghanistan,Offshore wind energy,Off-grid,2017,0,Renewable
Afghanistan,Offshore wind energy,Off-grid,2018,0,Renewable
Afghanistan,Offshore wind energy,Off-grid,2019,0,Renewable
Afghanistan,Offshore wind energy,On-grid,2015,0,Renewable
Afghanistan,Offshore wind energy,On-grid,2016,0,Renewable
Afghanistan,Offshore wind energy,On-grid,2017,0,Renewable
Afghanistan,Offshore wind energy,On-grid,2018,0,Renewable
Afghanistan,Offshore wind energy,On-grid,2019,0,Renewable
Afghanistan,Renewable hydropower,Off-grid,2015,109.708,Renewable
Afghanistan,Renewable hydropower,Off-grid,2016,107.598,Renewable
Afghanistan,Renewable hydropower,Off-grid,2017,119.652,Renewable
Afghanistan,Renewable hydropower,Off-grid,2018,105.841,Renewable
Afghanistan,Renewable hydropower,Off-grid,2019,130.397,Renewable
Afghanistan,Renewable hydropower,On-grid,2015,890.863,Renewable
Afghanistan,Renewable hydropower,On-grid,2016,917.31,Renewable
Afghanistan,Renewable hydropower,On-grid,2017,929.051,Renewable
Afghanistan,Renewable hydropower,On-grid,2018,821.811,Renewable
Afghanistan,Renewable hydropower,On-grid,2019,1012.478,Renewable
Afghanistan,Pumped storage,Off-grid,2015,0,Renewable
Afghanistan,Pumped storage,Off-grid,2016,0,Renewable
Afghanistan,Pumped storage,Off-grid,2017,0,Renewable
Afghanistan,Pumped storage,Off-grid,2018,0,Renewable
Afghanistan,Pumped storage,Off-grid,2019,0,Renewable
Afghanistan,Pumped storage,On-grid,2015,0,Renewable
Afghanistan,Pumped storage,On-grid,2016,0,Renewable
Afghanistan,Pumped storage,On-grid,2017,0,Renewable
Afghanistan,Pumped storage,On-grid,2018,0,Renewable
Afghanistan,Pumped storage,On-grid,2019,0,Renewable
Afghanistan,Marine energy,Off-grid,2015,0,Renewable
Afghanistan,Marine energy,Off-grid,2016,0,Renewable
Afghanistan,Marine energy,Off-grid,2017,0,Renewable
Afghanistan,Marine energy,Off-grid,2018,0,Renewable
Afghanistan,Marine energy,Off-grid,2019,0,Renewable
Afghanistan,Marine energy,On-grid,2015,0,Renewable
Afghanistan,Marine energy,On-grid,2016,0,Renewable
Afghanistan,Marine energy,On-grid,2017,0,Renewable
Afghanistan,Marine energy,On-grid,2018,0,Renewable
Afghanistan,Marine energy,On-grid,2019,0,Renewable
Afghanistan,Solid biofuels,Off-grid,2015,0,Renewable
Afghanistan,Solid biofuels,Off-grid,2016,0,Renewable
Afghanistan,Solid biofuels,Off-grid,2017,0,Renewable
Afghanistan,Solid biofuels,Off-grid,2018,0,Renewable
Afghanistan,Solid biofuels,Off-grid,2019,0,Renewable
Afghanistan,Solid biofuels,On-grid,2015,0,Renewable
Afghanistan,Solid biofuels,On-grid,2016,0,Renewable
Afghanistan,Solid biofuels,On-grid,2017,0,Renewable
Afghanistan,Solid biofuels,On-grid,2018,0,Renewable
Afghanistan,Solid biofuels,On-grid,2019,0,Renewable
Afghanistan,Renewable municipal waste,Off-grid,2015,0,Renewable
Afghanistan,Renewable municipal waste,Off-grid,2016,0,Renewable
Afghanistan,Renewable municipal waste,Off-grid,2017,0,Renewable
Afghanistan,Renewable municipal waste,Off-grid,2018,0,Renewable
Afghanistan,Renewable municipal waste,Off-grid,2019,0,Renewable
Afghanistan,Renewable municipal waste,On-grid,2015,0,Renewable
Afghanistan,Renewable municipal waste,On-grid,2016,0,Renewable
Afghanistan,Renewable municipal waste,On-grid,2017,0,Renewable
Afghanistan,Renewable municipal waste,On-grid,2018,0,Renewable
Afghanistan,Renewable municipal waste,On-grid,2019,0,Renewable
Afghanistan,Liquid biofuels,Off-grid,2015,0,Renewable
Afghanistan,Liquid biofuels,Off-grid,2016,0,Renewable
Afghanistan,Liquid biofuels,Off-grid,2017,0,Renewable
Afghanistan,Liquid biofuels,Off-grid,2018,0,Renewable
Afghanistan,Liquid biofuels,Off-grid,2019,0,Renewable
Afghanistan,Liquid biofuels,On-grid,2015,0,Renewable
Afghanistan,Liquid biofuels,On-grid,2016,0,Renewable
Afghanistan,Liquid biofuels,On-grid,2017,0,Renewable
Afghanistan,Liquid biofuels,On-grid,2018,0,Renewable
Afghanistan,Liquid biofuels,On-grid,2019,0,Renewable
Afghanistan,Biogas,Off-grid,2015,0,Renewable
Afghanistan,Biogas,Off-grid,2016,0,Renewable
Afghanistan,Biogas,Off-grid,2017,0,Renewable
Afghanistan,Biogas,Off-grid,2018,0,Renewable
Afghanistan,Biogas,Off-grid,2019,0,Renewable
Afghanistan,Biogas,On-grid,2015,0,Renewable
Afghanistan,Biogas,On-grid,2016,0,Renewable
Afghanistan,Biogas,On-grid,2017,0,Renewable
Afghanistan,Biogas,On-grid,2018,0,Renewable
Afghanistan,Biogas,On-grid,2019,0,Renewable
Afghanistan,Geothermal energy,Off-grid,2015,0,Renewable
Afghanistan,Geothermal energy,Off-grid,2016,0,Renewable
Afghanistan,Geothermal energy,Off-grid,2017,0,Renewable
Afghanistan,Geothermal energy,Off-grid,2018,0,Renewable
Afghanistan,Geothermal energy,Off-grid,2019,0,Renewable
Afghanistan,Geothermal energy,On-grid,2015,0,Renewable
Afghanistan,Geothermal energy,On-grid,2016,0,Renewable
Afghanistan,Geothermal energy,On-grid,2017,0,Renewable
Afghanistan,Geothermal energy,On-grid,2018,0,Renewable
Afghanistan,Geothermal energy,On-grid,2019,0,Renewable
Afghanistan,Coal and peat,Off-grid,2015,0,Non renewable
Afghanistan,Coal and peat,Off-grid,2016,0,Non renewable
Afghanistan,Coal and peat,Off-grid,2017,0,Non renewable
Afghanistan,Coal and peat,Off-grid,2018,0,Non renewable
Afghanistan,Coal and peat,Off-grid,2019,0,Non renewable
Afghanistan,Coal and peat,On-grid,2015,0,Non renewable
Afghanistan,Coal and peat,On-grid,2016,0,Non renewable
Afghanistan,Coal and peat,On-grid,2017,0,Non renewable
Afghanistan,Coal and peat,On-grid,2018,0,Non renewable
Afghanistan,Coal and peat,On-grid,2019,0,Non renewable
Afghanistan,Oil,Off-grid,2015,0,Non renewable
Afghanistan,Oil,Off-grid,2016,0,Non renewable
Afghanistan,Oil,Off-grid,2017,0,Non renewable
Afghanistan,Oil,Off-grid,2018,0,Non renewable
Afghanistan,Oil,Off-grid,2019,0,Non renewable
Afghanistan,Oil,On-grid,2015,109.65,Non renewable
Afghanistan,Oil,On-grid,2016,118.12,Non renewable
Afghanistan,Oil,On-grid,2017,136.46,Non renewable
Afghanistan,Oil,On-grid,2018,155.373,Non renewable
Afghanistan,Oil,On-grid,2019,141.085,Non renewable
Afghanistan,Natural gas,Off-grid,2015,0,Non renewable
Afghanistan,Natural gas,Off-grid,2016,0,Non renewable
Afghanistan,Natural gas,Off-grid,2017,0,Non renewable
Afghanistan,Natural gas,Off-grid,2018,0,Non renewable
Afghanistan,Natural gas,Off-grid,2019,0,Non renewable
Afghanistan,Natural gas,On-grid,2015,0,Non renewable
Afghanistan,Natural gas,On-grid,2016,0,Non renewable
Afghanistan,Natural gas,On-grid,2017,0,Non renewable
Afghanistan,Natural gas,On-grid,2018,0,Non renewable
Afghanistan,Natural gas,On-grid,2019,0,Non renewable
Afghanistan,Nuclear,Off-grid,2015,0,Non renewable
Afghanistan,Nuclear,Off-grid,2016,0,Non renewable
Afghanistan,Nuclear,Off-grid,2017,0,Non renewable
Afghanistan,Nuclear,Off-grid,2018,0,Non renewable
Afghanistan,Nuclear,Off-grid,2019,0,Non renewable
Afghanistan,Nuclear,On-grid,2015,0,Non renewable
Afghanistan,Nuclear,On-grid,2016,0,Non renewable
Afghanistan,Nuclear,On-grid,2017,0,Non renewable
Afghanistan,Nuclear,On-grid,2018,0,Non renewable
Afghanistan,Nuclear,On-grid,2019,0,Non renewable
Afghanistan,Fossil fuels n.e.s.,Off-grid,2015,37.013,Non renewable
Afghanistan,Fossil fuels n.e.s.,Off-grid,2016,30.198,Non renewable
Afghanistan,Fossil fuels n.e.s.,Off-grid,2017,27.158,Non renewable
Afghanistan,Fossil fuels n.e.s.,Off-grid,2018,31.39,Non renewable
Afghanistan,Fossil fuels n.e.s.,Off-grid,2019,39.68,Non renewable
Afghanistan,Fossil fuels n.e.s.,On-grid,2015,0,Non renewable
Afghanistan,Fossil fuels n.e.s.,On-grid,2016,0,Non renewable
Afghanistan,Fossil fuels n.e.s.,On-grid,2017,0,Non renewable
Afghanistan,Fossil fuels n.e.s.,On-grid,2018,0,Non renewable
Afghanistan,Fossil fuels n.e.s.,On-grid,2019,0,Non renewable
Afghanistan,Other non-renewable energy,Off-grid,2015,0,Non renewable
Afghanistan,Other non-renewable energy,Off-grid,2016,0,Non renewable
Afghanistan,Other non-renewable energy,Off-grid,2017,0,Non renewable
Afghanistan,Other non-renewable energy,Off-grid,2018,0,Non renewable
Afghanistan,Other non-renewable energy,Off-grid,2019,0,Non renewable
Afghanistan,Other non-renewable energy,On-grid,2015,0,Non renewable
Afghanistan,Other non-renewable energy,On-grid,2016,0,Non renewable
Afghanistan,Other non-renewable energy,On-grid,2017,0,Non renewable
Afghanistan,Other non-renewable energy,On-grid,2018,0,Non renewable
Afghanistan,Other non-renewable energy,On-grid,2019,0,Non renewable
Albania,Solar photovoltaic,Off-grid,2015,0,Renewable
Albania,Solar photovoltaic,Off-grid,2016,0,Renewable
Albania,Solar photovoltaic,Off-grid,2017,0,Renewable
Albania,Solar photovoltaic,Off-grid,2018,0,Renewable
Albania,Solar photovoltaic,Off-grid,2019,0,Renewable
Albania,Solar photovoltaic,On-grid,2015,1.428,Renewable
Albania,Solar photovoltaic,On-grid,2016,1.36,Renewable
Albania,Solar photovoltaic,On-grid,2017,1.2,Renewable
Albania,Solar photovoltaic,On-grid,2018,1.334,Renewable
Albania,Solar photovoltaic,On-grid,2019,22.196,Renewable
Albania,Solar thermal energy,Off-grid,2015,0,Renewable
Albania,Solar thermal energy,Off-grid,2016,0,Renewable
Albania,Solar thermal energy,Off-grid,2017,0,Renewable
Albania,Solar thermal energy,Off-grid,2018,0,Renewable
Albania,Solar thermal energy,Off-grid,2019,0,Renewable
Albania,Solar thermal energy,On-grid,2015,0,Renewable
Albania,Solar thermal energy,On-grid,2016,0,Renewable
Albania,Solar thermal energy,On-grid,2017,0,Renewable
Albania,Solar thermal energy,On-grid,2018,0,Renewable
Albania,Solar thermal energy,On-grid,2019,0,Renewable
Albania,Onshore wind energy,Off-grid,2015,0,Renewable
Albania,Onshore wind energy,Off-grid,2016,0,Renewable
Albania,Onshore wind energy,Off-grid,2017,0,Renewable
Albania,Onshore wind energy,Off-grid,2018,0,Renewable
Albania,Onshore wind energy,Off-grid,2019,0,Renewable
Albania,Onshore wind energy,On-grid,2015,0,Renewable
Albania,Onshore wind energy,On-grid,2016,0,Renewable
Albania,Onshore wind energy,On-grid,2017,0,Renewable
Albania,Onshore wind energy,On-grid,2018,0,Renewable
Albania,Onshore wind energy,On-grid,2019,0,Renewable
Albania,Offshore wind energy,Off-grid,2015,0,Renewable
Albania,Offshore wind energy,Off-grid,2016,0,Renewable
Albania,Offshore wind energy,Off-grid,2017,0,Renewable
Albania,Offshore wind energy,Off-grid,2018,0,Renewable
Albania,Offshore wind energy,Off-grid,2019,0,Renewable
Albania,Offshore wind energy,On-grid,2015,0,Renewable
Albania,Offshore wind energy,On-grid,2016,0,Renewable
Albania,Offshore wind energy,On-grid,2017,0,Renewable
Albania,Offshore wind energy,On-grid,2018,0,Renewable
Albania,Offshore wind energy,On-grid,2019,0,Renewable
Albania,Renewable hydropower,Off-grid,2015,0,Renewable
Albania,Renewable hydropower,Off-grid,2016,0,Renewable
Albania,Renewable hydropower,Off-grid,2017,0,Renewable
Albania,Renewable hydropower,Off-grid,2018,0,Renewable
Albania,Renewable hydropower,Off-grid,2019,0,Renewable
Albania,Renewable hydropower,On-grid,2015,5895,Renewable
Albania,Renewable hydropower,On-grid,2016,7781.702,Renewable
Albania,Renewable hydropower,On-grid,2017,4524.979,Renewable
Albania,Renewable hydropower,On-grid,2018,8552.152,Renewable
Albania,Renewable hydropower,On-grid,2019,5183.847,Renewable
Albania,Pumped storage,Off-grid,2015,0,Renewable
Albania,Pumped storage,Off-grid,2016,0,Renewable
Albania,Pumped storage,Off-grid,2017,0,Renewable
Albania,Pumped storage,Off-grid,2018,0,Renewable
Albania,Pumped storage,Off-grid,2019,0,Renewable
Albania,Pumped storage,On-grid,2015,0,Renewable
Albania,Pumped storage,On-grid,2016,0,Renewable
Albania,Pumped storage,On-grid,2017,0,Renewable
Albania,Pumped storage,On-grid,2018,0,Renewable
Albania,Pumped storage,On-grid,2019,0,Renewable
Albania,Marine energy,Off-grid,2015,0,Renewable
Albania,Marine energy,Off-grid,2016,0,Renewable
Albania,Marine energy,Off-grid,2017,0,Renewable
Albania,Marine energy,Off-grid,2018,0,Renewable
Albania,Marine energy,Off-grid,2019,0,Renewable
Albania,Marine energy,On-grid,2015,0,Renewable
Albania,Marine energy,On-grid,2016,0,Renewable
Albania,Marine energy,On-grid,2017,0,Renewable
Albania,Marine energy,On-grid,2018,0,Renewable
Albania,Marine energy,On-grid,2019,0,Renewable
Albania,Solid biofuels,Off-grid,2015,0,Renewable
Albania,Solid biofuels,Off-grid,2016,0,Renewable
Albania,Solid biofuels,Off-grid,2017,0,Renewable
Albania,Solid biofuels,Off-grid,2018,0,Renewable
Albania,Solid biofuels,Off-grid,2019,0,Renewable
Albania,Solid biofuels,On-grid,2015,0,Renewable
Albania,Solid biofuels,On-grid,2016,0,Renewable
Albania,Solid biofuels,On-grid,2017,0,Renewable
Albania,Solid biofuels,On-grid,2018,0,Renewable
Albania,Solid biofuels,On-grid,2019,0,Renewable
Albania,Renewable municipal waste,Off-grid,2015,0,Renewable
Albania,Renewable municipal waste,Off-grid,2016,0,Renewable
Albania,Renewable municipal waste,Off-grid,2017,0,Renewable
Albania,Renewable municipal waste,Off-grid,2018,0,Renewable
Albania,Renewable municipal waste,Off-grid,2019,0,Renewable
Albania,Renewable municipal waste,On-grid,2015,0,Renewable
Albania,Renewable municipal waste,On-grid,2016,0,Renewable
Albania,Renewable municipal waste,On-grid,2017,0,Renewable
Albania,Renewable municipal waste,On-grid,2018,0,Renewable
Albania,Renewable municipal waste,On-grid,2019,0,Renewable
Albania,Liquid biofuels,Off-grid,2015,0,Renewable
Albania,Liquid biofuels,Off-grid,2016,0,Renewable
Albania,Liquid biofuels,Off-grid,2017,0,Renewable
Albania,Liquid biofuels,Off-grid,2018,0,Renewable
Albania,Liquid biofuels,Off-grid,2019,0,Renewable
Albania,Liquid biofuels,On-grid,2015,0,Renewable
Albania,Liquid biofuels,On-grid,2016,0,Renewable
Albania,Liquid biofuels,On-grid,2017,0,Renewable
Albania,Liquid biofuels,On-grid,2018,0,Renewable
Albania,Liquid biofuels,On-grid,2019,0,Renewable
Albania,Biogas,Off-grid,2015,0,Renewable
Albania,Biogas,Off-grid,2016,0,Renewable
Albania,Biogas,Off-grid,2017,0,Renewable
Albania,Biogas,Off-grid,2018,0,Renewable
Albania,Biogas,Off-grid,2019,0,Renewable
Albania,Biogas,On-grid,2015,0,Renewable
Albania,Biogas,On-grid,2016,0,Renewable
Albania,Biogas,On-grid,2017,0,Renewable
Albania,Biogas,On-grid,2018,0,Renewable
Albania,Biogas,On-grid,2019,0,Renewable
Albania,Geothermal energy,Off-grid,2015,0,Renewable
Albania,Geothermal energy,Off-grid,2016,0,Renewable
Albania,Geothermal energy,Off-grid,2017,0,Renewable
Albania,Geothermal energy,Off-grid,2018,0,Renewable
Albania,Geothermal energy,Off-grid,2019,0,Renewable
Albania,Geothermal energy,On-grid,2015,0,Renewable
Albania,Geothermal energy,On-grid,2016,0,Renewable
Albania,Geothermal energy,On-grid,2017,0,Renewable
Albania,Geothermal energy,On-grid,2018,0,Renewable
Albania,Geothermal energy,On-grid,2019,0,Renewable
Albania,Coal and peat,Off-grid,2015,0,Non renewable
Albania,Coal and peat,Off-grid,2016,0,Non renewable
Albania,Coal and peat,Off-grid,2017,0,Non renewable
Albania,Coal and peat,Off-grid,2018,0,Non renewable
Albania,Coal and peat,Off-grid,2019,0,Non renewable
Albania,Coal and peat,On-grid,2015,0,Non renewable
Albania,Coal and peat,On-grid,2016,0,Non renewable
Albania,Coal and peat,On-grid,2017,0,Non renewable
Albania,Coal and peat,On-grid,2018,0,Non renewable
Albania,Coal and peat,On-grid,2019,0,Non renewable
Albania,Oil,Off-grid,2015,0,Non renewable
Albania,Oil,Off-grid,2016,0,Non renewable
Albania,Oil,Off-grid,2017,0,Non renewable
Albania,Oil,Off-grid,2018,0,Non renewable
Albania,Oil,Off-grid,2019,0,Non renewable
Albania,Oil,On-grid,2015,0,Non renewable
Albania,Oil,On-grid,2016,0,Non renewable
Albania,Oil,On-grid,2017,0,Non renewable
Albania,Oil,On-grid,2018,0,Non renewable
Albania,Oil,On-grid,2019,0,Non renewable
Albania,Natural gas,Off-grid,2015,0,Non renewable
Albania,Natural gas,Off-grid,2016,0,Non renewable
Albania,Natural gas,Off-grid,2017,0,Non renewable
Albania,Natural gas,Off-grid,2018,0,Non renewable
Albania,Natural gas,Off-grid,2019,0,Non renewable
Albania,Natural gas,On-grid,2015,0,Non renewable
Albania,Natural gas,On-grid,2016,0,Non renewable
Albania,Natural gas,On-grid,2017,0,Non renewable
Albania,Natural gas,On-grid,2018,0,Non renewable
Albania,Natural gas,On-grid,2019,0,Non renewable
Albania,Nuclear,Off-grid,2015,0,Non renewable
Albania,Nuclear,Off-grid,2016,0,Non renewable
Albania,Nuclear,Off-grid,2017,0,Non renewable
Albania,Nuclear,Off-grid,2018,0,Non renewable
Albania,Nuclear,Off-grid,2019,0,Non renewable
Albania,Nuclear,On-grid,2015,0,Non renewable
Albania,Nuclear,On-grid,2016,0,Non renewable
Albania,Nuclear,On-grid,2017,0,Non renewable
Albania,Nuclear,On-grid,2018,0,Non renewable
Albania,Nuclear,On-grid,2019,0,Non renewable
Albania,Fossil fuels n.e.s.,Off-grid,2015,0,Non renewable
Albania,Fossil fuels n.e.s.,Off-grid,2016,0,Non renewable
Albania,Fossil fuels n.e.s.,Off-grid,2017,0,Non renewable
Albania,Fossil fuels n.e.s.,Off-grid,2018,0,Non renewable
Albania,Fossil fuels n.e.s.,Off-grid,2019,0,Non renewable
Albania,Fossil fuels n.e.s.,On-grid,2015,0,Non renewable
Albania,Fossil fuels n.e.s.,On-grid,2016,0,Non renewable
Albania,Fossil fuels n.e.s.,On-grid,2017,0,Non renewable
Albania,Fossil fuels n.e.s.,On-grid,2018,0,Non renewable
Albania,Fossil fuels n.e.s.,On-grid,2019,0,Non renewable
Albania,Other non-renewable energy,Off-grid,2015,0,Non renewable
Albania,Other non-renewable energy,Off-grid,2016,0,Non renewable
Albania,Other non-renewable energy,Off-grid,2017,0,Non renewable
Albania,Other non-renewable energy,Off-grid,2018,0,Non renewable
Albania,Other non-renewable energy,Off-grid,2019,0,Non renewable
Albania,Other non-renewable energy,On-grid,2015,0,Non renewable
Albania,Other non-renewable energy,On-grid,2016,0,Non renewable
Albania,Other non-renewable energy,On-grid,2017,0,Non renewable
Albania,Other non-renewable energy,On-grid,2018,0,Non renewable
Albania,Other non-renewable energy,On-grid,2019,0,Non renewable
Algeria,Solar photovoltaic,Off-grid,2015,13.748,Renewable
Algeria,Solar photovoltaic,Off-grid,2016,204.7,Renewable
Algeria,Solar photovoltaic,Off-grid,2017,373.6,Renewable
Algeria,Solar photovoltaic,Off-grid,2018,521.554,Renewable
Algeria,Solar photovoltaic,Off-grid,2019,544.935,Renewable
Algeria,Solar photovoltaic,On-grid,2015,0,Renewable
Algeria,Solar photovoltaic,On-grid,2016,0,Renewable
Algeria,Solar photovoltaic,On-grid,2017,0,Renewable
Algeria,Solar photovoltaic,On-grid,2018,0,Renewable
Algeria,Solar photovoltaic,On-grid,2019,0,Renewable
Algeria,Solar thermal energy,Off-grid,2015,0,Renewable
Algeria,Solar thermal energy,Off-grid,2016,0,Renewable
Algeria,Solar thermal energy,Off-grid,2017,0,Renewable
Algeria,Solar thermal energy,Off-grid,2018,0,Renewable
Algeria,Solar thermal energy,Off-grid,2019,0,Renewable
Algeria,Solar thermal energy,On-grid,2015,148.206,Renewable
Algeria,Solar thermal energy,On-grid,2016,134.4,Renewable
Algeria,Solar thermal energy,On-grid,2017,186.111,Renewable
Algeria,Solar thermal energy,On-grid,2018,133.11,Renewable
Algeria,Solar thermal energy,On-grid,2019,133.11,Renewable
Algeria,Onshore wind energy,Off-grid,2015,19.235,Renewable
Algeria,Onshore wind energy,Off-grid,2016,19.4,Renewable
Algeria,Onshore wind energy,Off-grid,2017,19.4,Renewable
Algeria,Onshore wind energy,Off-grid,2018,10.521,Renewable
Algeria,Onshore wind energy,Off-grid,2019,11.69,Renewable
Algeria,Onshore wind energy,On-grid,2015,0,Renewable
Algeria,Onshore wind energy,On-grid,2016,0,Renewable
Algeria,Onshore wind energy,On-grid,2017,0,Renewable
Algeria,Onshore wind energy,On-grid,2018,0,Renewable
Algeria,Onshore wind energy,On-grid,2019,0,Renewable
Algeria,Offshore wind energy,Off-grid,2015,0,Renewable
Algeria,Offshore wind energy,Off-grid,2016,0,Renewable
Algeria,Offshore wind energy,Off-grid,2017,0,Renewable
Algeria,Offshore wind energy,Off-grid,2018,0,Renewable
Algeria,Offshore wind energy,Off-grid,2019,0,Renewable
Algeria,Offshore wind energy,On-grid,2015,0,Renewable
Algeria,Offshore wind energy,On-grid,2016,0,Renewable
Algeria,Offshore wind energy,On-grid,2017,0,Renewable
Algeria,Offshore wind energy,On-grid,2018,0,Renewable
Algeria,Offshore wind energy,On-grid,2019,0,Renewable
Algeria,Renewable hydropower,Off-grid,2015,0,Renewable
Algeria,Renewable hydropower,Off-grid,2016,0,Renewable
Algeria,Renewable hydropower,Off-grid,2017,0,Renewable
Algeria,Renewable hydropower,Off-grid,2018,0,Renewable
Algeria,Renewable hydropower,Off-grid,2019,0,Renewable
Algeria,Renewable hydropower,On-grid,2015,145.318,Renewable
Algeria,Renewable hydropower,On-grid,2016,72,Renewable
Algeria,Renewable hydropower,On-grid,2017,56,Renewable
Algeria,Renewable hydropower,On-grid,2018,117,Renewable
Algeria,Renewable hydropower,On-grid,2019,152,Renewable
Algeria,Pumped storage,Off-grid,2015,0,Renewable
Algeria,Pumped storage,Off-grid,2016,0,Renewable
Algeria,Pumped storage,Off-grid,2017,0,Renewable
Algeria,Pumped storage,Off-grid,2018,0,Renewable
Algeria,Pumped storage,Off-grid,2019,0,Renewable
Algeria,Pumped storage,On-grid,2015,0,Renewable
Algeria,Pumped storage,On-grid,2016,0,Renewable
Algeria,Pumped storage,On-grid,2017,0,Renewable
Algeria,Pumped storage,On-grid,2018,0,Renewable
Algeria,Pumped storage,On-grid,2019,0,Renewable
Algeria,Marine energy,Off-grid,2015,0,Renewable
Algeria,Marine energy,Off-grid,2016,0,Renewable
Algeria,Marine energy,Off-grid,2017,0,Renewable
Algeria,Marine energy,Off-grid,2018,0,Renewable
Algeria,Marine energy,Off-grid,2019,0,Renewable
Algeria,Marine energy,On-grid,2015,0,Renewable
Algeria,Marine energy,On-grid,2016,0,Renewable
Algeria,Marine energy,On-grid,2017,0,Renewable
Algeria,Marine energy,On-grid,2018,0,Renewable
Algeria,Marine energy,On-grid,2019,0,Renewable
Algeria,Solid biofuels,Off-grid,2015,0,Renewable
Algeria,Solid biofuels,Off-grid,2016,0,Renewable
Algeria,Solid biofuels,Off-grid,2017,0,Renewable
Algeria,Solid biofuels,Off-grid,2018,0,Renewable
Algeria,Solid biofuels,Off-grid,2019,0,Renewable
Algeria,Solid biofuels,On-grid,2015,0,Renewable
Algeria,Solid biofuels,On-grid,2016,0,Renewable
Algeria,Solid biofuels,On-grid,2017,0,Renewable
Algeria,Solid biofuels,On-grid,2018,0,Renewable
Algeria,Solid biofuels,On-grid,2019,0,Renewable
Algeria,Renewable municipal waste,Off-grid,2015,0,Renewable
Algeria,Renewable municipal waste,Off-grid,2016,0,Renewable
Algeria,Renewable municipal waste,Off-grid,2017,0,Renewable
Algeria,Renewable municipal waste,Off-grid,2018,0,Renewable
Algeria,Renewable municipal waste,Off-grid,2019,0,Renewable
Algeria,Renewable municipal waste,On-grid,2015,0,Renewable
Algeria,Renewable municipal waste,On-grid,2016,0,Renewable
Algeria,Renewable municipal waste,On-grid,2017,0,Renewable
Algeria,Renewable municipal waste,On-grid,2018,0,Renewable
Algeria,Renewable municipal waste,On-grid,2019,0,Renewable
Algeria,Liquid biofuels,Off-grid,2015,0,Renewable
Algeria,Liquid biofuels,Off-grid,2016,0,Renewable
Algeria,Liquid biofuels,Off-grid,2017,0,Renewable
Algeria,Liquid biofuels,Off-grid,2018,0,Renewable
Algeria,Liquid biofuels,Off-grid,2019,0,Renewable
Algeria,Liquid biofuels,On-grid,2015,0,Renewable
Algeria,Liquid biofuels,On-grid,2016,0,Renewable
Algeria,Liquid biofuels,On-grid,2017,0,Renewable
Algeria,Liquid biofuels,On-grid,2018,0,Renewable
Algeria,Liquid biofuels,On-grid,2019,0,Renewable
Algeria,Biogas,Off-grid,2015,0,Renewable
Algeria,Biogas,Off-grid,2016,0,Renewable
Algeria,Biogas,Off-grid,2017,0,Renewable
Algeria,Biogas,Off-grid,2018,0,Renewable
Algeria,Biogas,Off-grid,2019,0,Renewable
Algeria,Biogas,On-grid,2015,0,Renewable
Algeria,Biogas,On-grid,2016,0,Renewable
Algeria,Biogas,On-grid,2017,0,Renewable
Algeria,Biogas,On-grid,2018,0,Renewable
Algeria,Biogas,On-grid,2019,0,Renewable
Algeria,Geothermal energy,Off-grid,2015,0,Renewable
Algeria,Geothermal energy,Off-grid,2016,0,Renewable
